"City, State",Population,Fiscal Year,General Fund,Police Budget,PB/capita
"Alameda, CA","75,126",2021,"$225,500,000","$31,570,000",$420
"Alhambra, CA","84,649",2021,"$149,846,632","$29,863,317",$353
"Anaheim, CA","350,365",2021,"$427,947,397","$127,398,832",$364
"Antioch, CA","113,901",2021,"$160,164,099","$47,337,250",$416
"Apple Valley, CA","73,508",2021,"$102,800,897","$16,311,988",$222
"Atlanta, GA","506,811",2021,"$673,400,000","$248,500,000",$490
"Auburn, CA","14,195",2020,"$12,378,627","$4,277,354",$301
"Austin, TX","978,908",2020,"$1,088,000,000","$434,475,745",$444
"Bakersfield, CA","384,145",2021,"$628,000,000","$121,570,000",$316
"Baldwin Park, CA","75,390",,"$28,601,305","$18,876,861",$250
"Baltimore, MD","593,490",2021,"$1,930,000,000","$536,000,000",$903
"Bellevue, WA","147,599",2020,"$268,000,000","$43,000,000",$291
"Berkeley, CA","121,643",2021,"$447,737,674","$77,223,242",$635
"Boston, MA","692,600",2021,"$3,650,000,000","$414,000,000",$598
"Boulder, CO","107,353",2020,"$132,257,455","$31,741,789",$296
"Buena Park, CA","82,421",2020,"$78,950,710","$28,706,710",$348
"Burbank, CA","103,695",2020,"$197,525,256","$61,125,859",$589
"Camarillo, CA","69,888",2020,"$37,520,768","$18,096,760",$259
"Cambridge, MA","118,977",2020,"$665,550,940","$63,384,730",$533
"Carlsbad, CA","115,382",2020,"$167,100,000","$42,000,000",$364
"Carson, CA","91,714",,"$89,259,259","$24,100,000",$263
"Charlotte, NC","885,708",2021,"$2,550,000,000","$254,000,000",$287
"Chicago, IL","2,693,976",2021,"$11,650,000,000","$1,680,000,000",$624
"Chico, CA","97,962",2020,"$56,925,113","$26,060,106",$266
"Chino Hills, CA","91,583",2021,"$100,442,044","$43,578,529",$476
"Chino, CA","86,777",2021,"$44,242,867","$15,788,700",$182
"Chula Vista, CA","274,492",2021,"$206,700,000","$95,082,000",$346
"Citrus Heights, CA","88,890",2020,"$39,600,000","$22,503,906",$253
"Cleveland, OH","381,009",2020,"$670,650,748","$217,908,375",$572
"Clovis, CA","118,014",2020,"$76,800,000","$39,000,000",$330
"Columbia, MO","123,195",2020,"$90,418,132","$26,229,694",$213
"Columbus, OH","898,553",2020,"$969,500,000","$359,000,000",$400
"Compton, CA","96,455",,"$69,438,061","$22,914,560",$238
"Concord, CA","129,295",2021,"$16,020,933","$8,446,606",$65
"Corona, CA","168,819",2020,"$144,420,000","$47,460,000",$281
"Costa Mesa, CA","113,003",2020,"$157,330,000","$46,220,000",$409
"Cupertino, CA","59,276",2020,"$80,104,468","$14,792,330",$250
"Dallas, TX","1,343,573",2019,"$3,600,000,000","$509,000,000",$379
"Daly City, CA","106,280",2020,"$85,785,000","$34,785,000",$327
"Davis, CA","69,413",2020,"$68,479,998","$19,945,541",$287
"Denver, CO","727,211",2020,"$1,490,000,000","$588,000,000",$809
"Detroit, MI","670,031",2021,"$1,100,000,000","$330,000,000",$493
"Downey, CA","111,772",,"$91,147,530","$36,459,012",$326
"Dublin, CA","64,826",2020,"$78,930,783","$19,078,235",$294
"El Cajon, CA","102,708",2020,"$78,097,274","$37,301,719",$363
"El Monte, CA","113,475",,"$76,310,439","$27,471,758",$242
"Elk Grove, CA","174,775",2021,"$74,700,000","$50,049,000",$286
"Escondido, CA","151,625",2021,"$107,596,800","$45,633,100",$301
"Fairfield, CA","117,133",2020,"$103,235,966","$44,929,507",$384
"Folsom, CA","81,328",2019,"$89,377,187","$22,975,106",$282
"Fontana, CA","214,547",2020,"$101,977,600","$60,900,000",$284
"Fremont, CA","241,100",2021,"$213,400,000","$102,432,000",$425
"Fresno, CA","530,093",2021,"$346,000,000","$201,000,000",$379
"Fullerton, CA","139,640",2021,"$106,087,083","$49,860,929",$357
"Garden Grove, CA","172,646",2021,"$132,373,300","$67,738,400",$392
"Glendale, CA","201,603",2020,"$243,000,000","$97,253,000",$482
"Grand Rapids, MI","200,217",2021,"$146,078,000","$56,962,000",$285
"Hawthorne, CA","84,293",,"$81,570,532","$38,338,150",$455
"Hayward, CA","159,620",2020,"$172,103,000","$78,725,000",$493
"Hemet, CA","85,334",2019,"$48,074,260","$17,774,605",$208
